Timestep;EOM_price;CM_price;TotalCapOffer;Gen_C_Baseload;new_Capacity_Gen_C_Baseload;Capacity_Gen_C_Baseload;Gen_C_MidMerit;new_Capacity_Gen_C_MidMerit;Capacity_Gen_C_MidMerit;Gen_C_PV;new_Capacity_Gen_C_PV;Capacity_Gen_C_PV;Gen_C_Peak;new_Capacity_Gen_C_Peak;Capacity_Gen_C_Peak;Gen_C_WindOnshore;new_Capacity_Gen_C_WindOnshore;Capacity_Gen_C_WindOnshore;Cons_C;Inelastic_Cons_C;Elastic_Cons_C;CapDemand_Cons_C;NetworkManager;CapacityManager;ENS_Cons_C
1.0;84.68;34973.73;16893.22;6980.94;6980.94;6980.94;927.57;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;662.99;0.0;8300.0;8774.73;8430.88;343.85;17774.16;203.23;880.94;0.0
2.0;74.87;34973.73;16893.22;6859.3;6980.94;6980.94;621.07;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;921.42;0.0;8300.0;8485.3;8152.0;333.31;17774.16;83.51;880.94;0.0
3.0;72.69;34973.73;16893.22;6585.81;6980.94;6980.94;552.7;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;1258.29;0.0;8300.0;8294.44;7968.46;325.99;17774.16;-102.35;880.94;0.0
4.0;71.43;34973.73;16893.22;6429.02;6980.94;6980.94;513.51;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;1589.57;0.0;8300.0;8194.5;7872.35;322.16;17774.16;-337.59;880.94;0.0
5.0;71.3;34973.73;16893.22;6412.11;6980.94;6980.94;509.28;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;1994.74;0.0;8300.0;8362.81;8034.03;328.78;17774.16;-553.32;880.94;0.0
6.0;73.26;34973.73;16893.22;6657.77;6980.94;6980.94;570.69;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;2319.7;0.0;8300.0;8880.79;8531.81;348.98;17774.16;-667.37;880.94;0.0
7.0;88.77;34973.73;16893.22;6980.94;6980.94;6980.94;1055.43;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;2609.64;0.0;8300.0;9790.42;9407.15;383.27;17774.16;-855.59;880.94;0.0
8.0;115.88;34973.73;16893.22;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;1.15;0.0;18662.0;323.48;8398.23;8398.23;2935.3;0.0;8300.0;11276.71;10838.2;438.51;17774.16;-478.22;880.94;0.0
9.0;129.25;34973.73;16893.22;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;604.99;0.0;18662.0;490.62;8398.23;8398.23;3049.95;0.0;8300.0;12063.12;11595.58;467.54;17774.16;-577.44;880.94;0.0
10.0;97.11;34973.73;16893.22;6980.94;6980.94;6980.94;1315.88;1514.05;1514.05;2532.6;0.0;18662.0;88.85;8398.23;8398.23;3048.47;0.0;8300.0;11984.88;11516.67;468.21;17774.16;-1981.86;880.94;0.0
11.0;74.44;34973.73;16893.22;6805.46;6980.94;6980.94;607.61;1514.05;1514.05;4952.73;0.0;18662.0;0.0;8398.23;8398.23;3125.69;0.0;8300.0;11543.08;11089.61;453.47;17774.16;-3948.41;880.94;0.0
12.0;360.23;34973.73;16893.22;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;6487.49;0.0;18662.0;3377.9;8398.23;8398.23;830.08;0.0;8300.0;13949.58;13440.01;509.57;17774.16;-5240.89;880.94;0.0
13.0;67.22;34973.73;16893.22;5902.82;6980.94;6980.94;381.96;1514.05;1514.05;7171.92;0.0;18662.0;0.0;8398.23;8398.23;3606.68;0.0;8300.0;11353.99;10907.16;446.83;17774.16;-5709.38;880.94;0.0
14.0;67.37;34973.73;16893.22;5921.05;6980.94;6980.94;386.51;1514.05;1514.05;7018.32;0.0;18662.0;0.0;8398.23;8398.23;3863.16;0.0;8300.0;11491.01;11038.8;452.2;17774.16;-5698.04;880.94;0.0
15.0;70.52;34973.73;16893.22;6314.81;6980.94;6980.94;484.95;1514.05;1514.05;5549.7;0.0;18662.0;0.0;8398.23;8398.23;4166.22;0.0;8300.0;11730.65;11269.37;461.28;17774.16;-4785.04;880.94;0.0
16.0;80.8;34973.73;16893.22;6980.94;6980.94;6980.94;806.35;1514.05;1514.05;3040.08;0.0;18662.0;0.0;8398.23;8398.23;4407.63;0.0;8300.0;12035.14;11563.08;472.06;17774.16;-3199.86;880.94;0.0
17.0;121.31;34973.73;16893.22;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;652.47;0.0;18662.0;391.36;8398.23;8398.23;4575.34;0.0;8300.0;12649.78;12158.54;491.24;17774.16;-1464.38;880.94;0.0
18.0;531.18;34973.73;16893.22;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.01;0.0;18662.0;5514.75;8398.23;8398.23;830.08;0.0;8300.0;17904.4;17280.01;624.39;17774.16;3064.57;880.94;0.0
19.0;531.18;34973.73;16893.22;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;18662.0;5514.75;8398.23;8398.23;830.08;0.0;8300.0;14422.99;13920.01;502.98;17774.16;-416.84;880.94;0.0
20.0;135.49;34973.73;16893.22;6980.94;6980.94;6980.94;1514.05;1514.05;1514.05;0.0;0.0;18662.0;568.67;8398.23;8398.23;4973.61;0.0;8300.0;12529.21;12044.36;484.85;17774.16;-1508.06;880.94;0.0
21.0;99.4;34973.73;16893.22;6980.94;6980.94;6980.94;1387.62;1514.05;1514.05;0.0;0.0;18662.0;117.55;8398.23;8398.23;5091.11;0.0;8300.0;11934.3;11468.33;465.97;17774.16;-1642.92;880.94;0.0
22.0;85.53;34973.73;16893.22;6980.94;6980.94;6980.94;954.09;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;5221.81;0.0;8300.0;11346.64;10902.1;444.54;17774.16;-1810.2;880.94;0.0
23.0;74.39;34973.73;16893.22;6798.31;6980.94;6980.94;605.83;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;5364.77;0.0;8300.0;10661.45;10242.61;418.84;17774.16;-2107.45;880.94;0.0
24.0;70.69;34973.73;16893.22;6336.01;6980.94;6980.94;490.25;1514.05;1514.05;0.0;0.0;18662.0;0.0;8398.23;8398.23;5476.38;0.0;8300.0;9920.08;9530.02;390.07;17774.16;-2382.56;880.94;0.0
